ColdTolerant.Name		Cold Tolerant
GoodDiet.Desc			The food here is good.  Happiness +{0}.|Likes / dislikes: {1}|Variety: {2}||{3} likes {4}.|{3} dislikes {5}.|All colonists dislike mush.

NeutralDiet.Name		Neutral Diet
NeutralDiet.Desc		The food here is OK.  Happiness +0.|Likes / dislikes: {1}|Variety: {2}||{3} likes {4}.|{3} dislikes {5}.|All colonists dislike mush.

BadDiet.Name			Bad Diet
BadDiet.Desc			The food here is not good.  Happiness {0}.|Likes / dislikes: {1}|Variety: {2}||{3} likes {4}.|{3} dislikes {5}.|All colonists dislike mush.

GoodMood.Name			Good Mood
GoodMood.Desc			For no particular reason,|{0} is just feeling good right now.|Happiness +{1}

BadMood.Name			Bad Mood
BadMood.Desc			For no particular reason,|{0} is in a bit of a bad mood.|Happiness {1}

Kek.Name				Good Kek
Kek.Desc				We have really good kek!  Happiness +2 (expires in {0} hours)

Roam.Name				Went for a Walk
Roam.Desc				{0} went for a nice walk.  Happiness +2 (expires in {1} hours)

SleepGood.Name			Slept Well
SleepGood.Desc			{0} slept well.  Happiness +{1}

SleepBad.Name			Slept Badly
SleepBad.Desc			{0} slept badly.  Happiness {1}

Tired1.Name				Tired 
Tired1.Desc				{0} is starting to feel tired.|Will sleep if a pod is available.

Tired2.Name				Very Tired
Tired2.Desc				{0} is very tired.|May sleep outside if no pod is available.|Happiness -3

Dark.Name				In Darkness
Dark.Desc				It's difficult to work and move around in the dark.|40% work speed penalty|40% walk speed penalty

Social1.Name			Social
Social1.Desc			Spent time talking with {0}.|Happiness +1

Social2.Name			Social
Social2.Desc			Spent time talking with {0}.|Happiness +1

Social3.Name			Social
Social3.Desc			Spent time talking with {0}.|Happiness +1

WorkOutside.Name		Outdoors
WorkOutside.Desc		Lab work takes a little longer when working outside.|20% work speed penalty

Programmer.Name			Programmer
Programmer.Desc			Programmers can only work at labs, but they are very good at this.|20% work speed bonus
